MusteriKodu,MusteriBolge3,MusteriBolge4,SatisKanali,MusteriUnvan,MusteriTabelaAdi,MusteriCesidi,KoordinatX,KoordinatY,MapProfileScore,MapPopulationScore,Mapin Segment,place_name,visitor_count
701153,Istanbul Anadolu,KADIKÖY,TRADITIONAL,MODAVAN GIDA TURIZM ORGANIZASYON VE TANITIM SANAYI VE TICARET LTD STI,AKSAM,Geleneksel Meyhane,'40.98048011,'29.02419242,"77,0744","63,3265",R3-B,AKŞAM KADIKÖY,209
969514,Istanbul Anadolu,KADIKÖY,MODERN,DURU TIYATRO VE FILM YAPIM DEKORASYON LTD.STI DURU ATASEHIR,DURU TIYATRO,Tekne-Event Hall-Catering,'40.99793436,'29.10033471,"91,34","91,14",D1-A,Duru Tiyatro,192
938058,Istanbul Anadolu,KADIKÖY,MODERN,BEL TUR CAFE REST OTEL INS LTD STI,FIL MODA,Modern Pub & Bistro,'40.98144373,'29.02312433,"78,2718","75,469",D2-B,Fil bistro moda,179
955167,Istanbul Anadolu,KADIKÖY,MODERN,BOGAZISLERI GIDA VE TURIZM TIC A.S,RITA MODA,Fine Dining (D.Mutf-Sar.Evi),'40.98387840,'29.02636204,"91,5988","89,7463",D1-A,Rita Moda,171
885247,Istanbul Anadolu,KADIKÖY,MODERN,C.G.B. INS. VE TURIZM DIS TIC.LTD.STI,YER,Modern Pub & Bistro,'40.98147500,'29.02267200,"66,2168","56,0926",D4-C,Yer Cafe,162
879108,Istanbul Anadolu,KADIKÖY,TRADITIONAL,KOLOMBO KEBAP- MEHMET CAHIT BÜYÜKSARIYILDIZ,KOLOMBO KEBAP,Kebap,'40.98201597,'29.02295088,"76,3094","75,8307",R2-B,Kolombo Kebap,157
921406,Istanbul Anadolu,KADIKÖY,MODERN,NSM GIDA  SAN TIC LTD STI,MIO PERLA ,Kokteyl Bar,'40.98201735,'29.02327683,"77,1526","65,6867",D3-B,İnizio Cocktail,154
873648,Istanbul Anadolu,KADIKÖY,TRADITIONAL,KASSAP GIDA LOKANTACILIK TURIZM TICARET LIMITED SIRKETI,KASSAP,Kebap,'40.98221300,'29.02313266,"90,9289","90,0847",R1-A,Kassab Köfte Döner,146
896128,Istanbul Anadolu,KADIKÖY,MODERN,KUZUOGLU GIDA TURIZM INSAAT SANAYI VE TICARET LIMITED SIRKETI - BEPPE PIZZERIA,WAYANA,Fine Dining (D.Mutf-Sar.Evi),'40.98129300,'29.02255000,"91,9051","53,2256",D4-A,Rosa Moda,145
877719,Istanbul Anadolu,KADIKÖY,MODERN,MUAF RESTAURANT,MUAF RESTAURANT,Modern Pub & Bistro,'40.98130700,'29.02260100,"64,8387","53,7858",D4-C,Muaf Cafe,132
700157,Istanbul Anadolu,KADIKÖY,MODERN,Yolculuk Atölyesi Turizm org. ve Prodk. Tic.Ltd. S,TEA SHOP COCKTAIL BAR,Kokteyl Bar,'40.98285968,'29.03274268,"77,6878","51,8967",D4-B,Teashop Cocktail Bar,132
946304,Istanbul Anadolu,KADIKÖY,HOTEL,TOP-KON TURISTIK HIZMETLER YATIRIM INSAAT VE TICARET LIMITED SIRKETI - MODA RIVA`S HOTEL,ESKI USUL MEYHANE,Butik Otel,'40.98299560,'29.03288081,,,H2,Riva's Moda Butik Otel,113
957998,Istanbul Anadolu,KADIKÖY,MODERN,CK BARAN TURIZM INS VE BAR ISL LTD STI,SOKAK BAR,Kokteyl Bar,'40.98594466,'29.02586263,"66,4778","75,2254",D2-C,Kadıköy Sokak [Cocktail Bar],106
908546,Istanbul Anadolu,KADIKÖY,MODERN,ALTUNÇ CAFE ISLETMECILIGI VE GIDA SANAYI TICARET VE ANONIM SIRKETI - KASET,YORK,Modern Pub & Bistro,'40.98616300,'29.02584600,"77,5773","65,4795",D3-B,York,106
