place_id,place_name,Mapin Segment,visitor_count,ID,MusteriKodu,MusteriTrackKod,SonMusteriKodu,PasifNeden,PasifNedenKod,DistSapkodu,DistPanKodu,MusteriBolge1,MusteriBolge2,MusteriBolge3,MusteriBolge4,SatisKanali,lisansNo,SatisHacmi,DiageoSatisHacmi,RutAdi,RutgrupKod,SatisTemsilcisi,StTakipKod,SatisSefi,SonGuncellenmeZamani,DDegeri,RDegeri,HDegeri,BiletEtkinlik,OrtalamaHarcamaTutari,KuverSayisi,IsbirligiDuzeyi,HerseyDahil,KisMevsimi,OtelTipi,YatakSayisi,YillikMisafir,MusteriUnvan,MusteriTabelaAdi,MusteriCesidi,VergiDairesi,VergiNumarasi,Adres,KoordinatX,KoordinatY,MusteriProfili,OTZincir,TAPDKOnayTarihi,MusteriOnSegment,WebServiceCalistirmaTarihi,AcikDonem,MapProfileScore,MapPopulationScore
131663,GARAJ RESTORAN,R2-C,1398,5496,131663,C182184,131663,TAPDK Ruhsati Yok (2023),28.0,1003053,389,Ulusal On-Trade Kanal MD.,Istanbul Heritage,Istanbul Avrupa,SARIYER,TRADITIONAL,34202088AI,S3,D4,Presell On Ist.Tra Avr Sariyer Bölgesi,2762,Samet Sahin,7377,Ümit Erdik,,,R2,,Etkinlik Yok,500-999 TL,200-399,Düsük,,,,,,GARAJ RESTAURANT VASIL KARKALEM VE ORT.,GARAJ RESTAURANT,Balik,SARIYER,5240036466.0,Yeniköy Cad. 30 Tarabya Sariyer / ISTANBUL,'41.13793098,'29.05445088,C,yok,2013-10-11,C,2025-04-25 11:27:44,,,
918371,Yüksel Balık Tarabya,R1-B,1100,5410,918371,983411,918371,,,1003053,389,Ulusal On-Trade Kanal MD.,Istanbul Heritage,Istanbul Avrupa,SARIYER,TRADITIONAL,34201463AI,S3,D4,Presell On Ist.Tra Avr Sariyer Bölgesi,2762,Samet Sahin,7377,Ümit Erdik,,,R1,,Etkinlik Yok,1.000 -1.999 TL,200-399,Yüksek,,,,,,ALIMENTO GIDA TURIZM VE OTOPARK TIC. LTD. STI.,YÜKSEL BALIK,Balik,SARIYER,530489741.0,TARABYA MAHALLESI KEFELIKÖY CADDESI NO:172 SARIYER ISTANBUL,'41.13876780,'29.05371927,AB,yok,2009-05-11,B,2025-04-25 11:18:52,YAZ - KIS,80.9413,92.7556
705721,NO15 yeniköy,D3-C,1034,5411,705721,C705721,705721,,,1003053,389,Ulusal On-Trade Kanal MD.,Istanbul Modern OT,Istanbul Avrupa,SARIYER,MODERN,3420004349AI,S2,D2,Presell On Ist.Mod Avr. Sariyer-Kagithane Bölgesi,2750,Mertcan Yalvaç,7379,Hüsamettin Özdemir,,D3,R0,H0,Etkinlik Yok,500-999 TL,100-199,Orta,,,,,,Danisman iç ve dis ticaret Ltd.sti -Yeniköy No 15,YENIKÖY  NO 15,Modern Pub & Bistro,SARIYER,2700797940.0,Yeniköy mh. Köybasi cd no 162 Sariyer/Istanbul ,'41.11738140,'29.06390960,AB,yok,2023-05-17,C,2025-04-25 11:18:56,YAZ - KIS,66.101,63.764
893825,Küfelik Bistro & Cafe -Pizza JAM,D4-B,1031,5412,893825,809773,893825,,,1003053,389,Ulusal On-Trade Kanal MD.,Istanbul Modern OT,Istanbul Avrupa,SARIYER,MODERN,34202867AI,S5,D4,Presell On Ist.Mod Avr. Sariyer-Kagithane Bölgesi,2750,Mertcan Yalvaç,7379,Hüsamettin Özdemir,,D4,,,Etkinlik Yok,500-999 TL,0-99,Düsük,,,,,,STONE MAGAZACILIK GIDA TICARET LIMITED SIRKETI-KÜFELIK,KÜFELIK,Modern Pub & Bistro,SARIYER,7810511070.0,YENIKÖY MAH.KÖYBASI CAD.NO:164/C SARIYER ISTANBUL,'41.11721125,'29.06372923,C,yok,2015-02-04,B,2025-04-25 11:19:00,YAZ - KIS,78.078,51.993
937500,Apartıman Yeniköy,D1-A,959,5413,937500,1165216,937500,,,1003053,389,Reserve Kanal Md.,Reserve Istanbul 1,Istanbul Avrupa,SARIYER,MODERN,34203420AI,S2,D2,Presell Reserve Ist. 1 Kayikçi Bölgesi,2542,Reserve Istanbul 1 Personel,7387,Reserve Istanbul 1 Saha Müdürü,,D1,R0,H0,,,,,,,,,,URB GIDA VE TUR. SAN. TIC. ANONIM SIRKETI,APARTIMAN,Diger Bistro Cafe,SARIYER,8930282584.0,,'41.11709923,'29.06396560,DE,Reserve,2017-09-14,A,2025-04-25 11:19:03,YAZ - KIS,98.62,98.49
1000026156,Takanik Balık Park,R1-B,947,5414,1000026156,C1000026156,1000026156,,,1003053,389,Ulusal On-Trade Kanal MD.,Istanbul Heritage,Istanbul Avrupa,SARIYER,TRADITIONAL,3420004130AI,S2,D4,Presell On Ist.Tra Avr Sariyer Bölgesi,2762,Samet Sahin,7377,Ümit Erdik,,,R1,,Etkinlik Yok,500-999 TL,100-199,Orta,,,,,,TONOS TURIZM GIDA INS.SAN.VE TIC.LTD.STI.,Yeniköy Balikçisi Takanik,Balik,SARIYER,8500227824.0,,'41.12178102,'29.07068292,AB,yok,2021-10-06,B,2025-04-25 11:19:07,YAZ - KIS,80.1778,92.1311
505500,Timothy's Cafe & Bistro,D3-A,940,5415,505500,177222167902,505500,,,1003053,389,Ulusal On-Trade Kanal MD.,Istanbul Modern OT,Istanbul Avrupa,SARIYER,MODERN,34201452AI,S3,D3,Presell On Ist.Mod Avr. Sariyer-Kagithane Bölgesi,2750,Mertcan Yalvaç,7379,Hüsamettin Özdemir,,D3,,,Etkinlik Yok,500-999 TL,100-199,Orta,,,,,,MTA GIDA TUR.SAN.TIC.LTD.STI.,TIMOTHYS,Modern Pub & Bistro,SARIYER,6230306845.0,KÖYBASI CD.NO:55/A YENIKÖY,'41.12239900,'29.07084900,A+,yok,2009-04-09,A,2025-04-25 11:19:12,YAZ - KIS,89.8087,64.9078
951188,Azur,R1-A,883,5416,951188,1293040,951188,,,1003053,389,Reserve Kanal Md.,Reserve Istanbul Lokal,Istanbul Avrupa,SARIYER,TRADITIONAL,34203648AI,S3,D3,Presell Reserve Istanbul Lokal Kayikçi Bölgesi,2773,Reserve Istanbul LokalPersonel,8163,Reserve Ist Lokal Saha Müdürü,,,R1,,Etkinlik Yok,2.000+ TL,200-399,Yüksek,,,,,,ATOZ YIYECEK VE IÇECEK ISLETMELERI A.S.,AZUR SEA FOOD,Balik,SARIYER,1030938543.0,,'41.12151567,'29.07010082,A+,Reserve,2018-09-04,A,2025-04-25 11:19:16,YAZ - KIS,94.0778,91.8624
959579,Alchemy Cocktail Bar - Yeniköy,D4-C,871,5497,959579,1367994,959579,TAPDK Ruhsati Yok (2023),28.0,1003053,389,Telesales Kanal Md.,Telesales OnTrade,Istanbul Avrupa,SARIYER,MODERN,34203574AI,S4,D4,Presell Kayikçi Telesell OnTrade Bölgesi,2654,Kayikçi Telesell Ontrade,7735,Telesell Sef,,D4,,,Etkinlik Yok,0-499 TL,0-99,Düsük,,,,,,HOMOSAPIYENS RESTORAN VE TICARET LIMITED SIRKETI-TEDDY BEER,Alchemy,Modern Pub & Bistro,SARIYER,4630812124.0,KÖYBASI CAD. NO:159/YENIKÖY SARIYER ISTANBUL,'41.11704324,'29.06381575,C,yok,2018-05-17,C,2025-04-25 11:27:48,,,
806278,Tiryaki Yeniköy Kebab Restaurant - Sarıyer'in En Gözde Mekanı,R2-B,862,5417,806278,117879,806278,,,1003053,389,Ulusal On-Trade Kanal MD.,Istanbul Heritage,Istanbul Avrupa,SARIYER,TRADITIONAL,34201631AI,S3,D4,Presell On Ist.Tra Avr Sariyer Bölgesi,2762,Samet Sahin,7377,Ümit Erdik,,,R2,,Etkinlik Yok,500-999 TL,200-399,Orta,,,,,,SALTIK TURISTIK ISLETMELER VE GIDA SAN.TIC.A.S.,TIRYAKI OCAKBASI,Kebap,SARIYER,7420410620.0,,'41.11812800,'29.06598500,AB,yok,2010-07-08,B,2025-04-25 11:19:25,YAZ - KIS,78.6294,79.2243
