place_id,place_name,Mapin Segment,visitor_count,ID,MusteriKodu,MusteriTrackKod,SonMusteriKodu,PasifNeden,PasifNedenKod,DistSapkodu,DistPanKodu,MusteriBolge1,MusteriBolge2,MusteriBolge3,MusteriBolge4,SatisKanali,lisansNo,SatisHacmi,DiageoSatisHacmi,RutAdi,RutgrupKod,SatisTemsilcisi,StTakipKod,SatisSefi,SonGuncellenmeZamani,DDegeri,RDegeri,HDegeri,BiletEtkinlik,OrtalamaHarcamaTutari,KuverSayisi,IsbirligiDuzeyi,HerseyDahil,KisMevsimi,OtelTipi,YatakSayisi,YillikMisafir,MusteriUnvan,MusteriTabelaAdi,MusteriCesidi,VergiDairesi,VergiNumarasi,Adres,KoordinatX,KoordinatY,MusteriProfili,OTZincir,TAPDKOnayTarihi,MusteriOnSegment,WebServiceCalistirmaTarihi,AcikDonem,MapProfileScore,MapPopulationScore
842049,Ranchero Suadiye,D2-B,280,5761,842049,389575,842049,,,1003053,389,Ulusal On-Trade Kanal MD.,Istanbul Modern OT,Istanbul Anadolu,KADIKÖY,MODERN,34288618AI,S3,D1,Presell On Ist.Mod Caddebostan Bölgesi,2815,Atakan Balcioglu ,8226,Tayfun Öncel,,D2,,,Etkinlik Yok,500-999 TL,400+,Düsük,,,,,,TÜRKMES GIDA SAN.VE DIS TIC.LTD.STI.,RANCHERO SUADIYE,Modern Pub & Bistro,ERENKÖY,8810277422.0,SUADIYE MAH PLAJYOLU SOK NO 4 /A KADIKOY ISTANBUL ,'40.95879796,'29.08203363,AB,Ranchero,2017-04-07,B,2025-04-29 12:11:51,YAZ - KIS,81.2303,80.3077
1000025341,Rossi Suadiye,D3-A,220,5762,1000025341,C1000025341,1000025341,,,1003053,389,Ulusal On-Trade Kanal MD.,Istanbul Modern OT,Istanbul Anadolu,KADIKÖY,MODERN,3428010060AI,S4,D4,Presell On Ist.Mod Caddebostan Bölgesi,2815,Atakan Balcioglu ,8226,Tayfun Öncel,,D3,R0,H0,Etkinlik Yok,1.000 -1.999 TL,200-399,Düsük,,,,,,BTK RESTAURANT TIC. VE SAN.LTD.STI.,ROSSI SUADIYE,Modern Pub & Bistro,ERENKÖY,1870634292.0,SUADIYE MH PLAJ YOLU SK NO 23 ,'40.95688171,'29.08087358,AB,yok,2021-12-14,A,2025-04-29 12:12:03,YAZ - KIS,91.197,63.9354
965946,Suadiye Fish Restaurant,R1-B,213,5763,965946,1427884,965946,,,1003053,389,Ulusal On-Trade Kanal MD.,Istanbul Heritage,Istanbul Anadolu,KADIKÖY,TRADITIONAL,34289396AI,S1,D4,Presell On Ist.Tra Bostanci Bölgesi,2817,Mehmet Yasar Tezcan,8228,Erkan Çoban,,,R1,,Etkinlik Yok,1.000 -1.999 TL,200-399,Yüksek,,,,,,MERKAN TURIZM GIDA KUY.INS.SAN.TIC.LTD.STI.,SUADIYE BALIK,Balik,ERENKÖY,6170401441.0,SUADIYE MH. PLAJYOLU SK NO 25/B KADIKOY ISTANBUL,'40.95693265,'29.08071870,AB,yok,2019-11-27,B,2025-04-29 12:12:07,YAZ - KIS,79.512,92.3879
1000020804,Pigalle Suadiye,D2-A,207,5764,1000020804,C1000020804,1000020804,,,1003053,389,Ulusal On-Trade Kanal MD.,Istanbul Modern OT,Istanbul Anadolu,KADIKÖY,MODERN,3428009962AI,S3,D4,Presell On Ist.Mod Caddebostan Bölgesi,2815,Atakan Balcioglu ,8226,Tayfun Öncel,,D2,R0,H0,,,200-399,,,,,,,BOS GRUP TURIZM GIDA ISLETMECILIGI SAN VE TIC A.S.,PIGALLE SUADIYE,Kokteyl Bar,KADIKÖY,1800447841.0,SUADIYE MH PLAJ YOLU SK NO 12A,'40.95764433,'29.08099837,AB,yok,2021-08-13,A,2025-04-29 12:12:10,YAZ - KIS,92.56,78.48
1000022610,Pigalle Suadiye,D2-B,207,5765,1000022610,C1000022610,1000022610,,,1003053,389,Ulusal On-Trade Kanal MD.,Istanbul Modern OT,Istanbul Avrupa,BESIKTAS,MODERN,3406004242AI,S2,D1,Presell On Ist.Mod Avr. Besiktas Merkez Bölgesi,2756,Beste Tunçay,7412,Selim Inal,,D2,,,Etkinlik Yok,0-499 TL,100-199,Orta,,,,,,METROPOL ELEKTRONIK PAZ. GIDA INS. SAN. VE TIC. LTD. STI.,Pigalle,Modern Pub & Bistro,BESIKTAS,6200062752.0,SINANPASA KAZAN SOK. NO:6A/- ,'41.04323886,'29.00617151,AB,yok,2021-08-17,B,2025-04-29 12:12:14,YAZ - KIS,81.4384,80.814
1000027478,Old English Pub Cafe & Restaurant,D2-B,202,5766,1000027478,635756,1000027478,,,1003053,389,Ulusal On-Trade Kanal MD.,Istanbul Modern OT,Istanbul Anadolu,KADIKÖY,MODERN,3428010159AI,S3,D3,Presell On Ist.Mod Caddebostan Bölgesi,2815,Atakan Balcioglu ,8226,Tayfun Öncel,,D2,,,Etkinlik Yok,500-999 TL,200-399,Orta,,,,,,ÜNSALLAR RESTORAN TURZ.ISL.SAN.VE TIC.LTD.STI.,OLD ENGLISH PUB,Modern Pub & Bistro,ERENKÖY,9170280675.0,SUADIYE MH KAZIM ÖZALP SK NO.15/8  ,'40.96235300,'29.07627300,AB,yok,2022-03-25,B,2025-04-29 12:12:21,YAZ - KIS,79.1755,77.7376
711482,La Plage No.14,D3-A,199,5767,711482,C711482,711482,,,1003053,389,Ulusal On-Trade Kanal MD.,Istanbul Modern OT,Istanbul Anadolu,ÜMRANIYE,MODERN,3428010533AI,S3,D3,Presell On Ist.Mod Caddebostan Bölgesi,2815,Atakan Balcioglu ,8226,Tayfun Öncel,,D3,R0,H0,Etkinlik Yok,1.000 -1.999 TL,100-199,Orta,,,,,,LA PLAGE RESTAURANT GIDA A.S.,LA PLAGE ,Modern Pub & Bistro,ERENKÖY VD.,6070871677.0,SUADIYE MAH. PLAJ YOLU SOK. NO:148  KADIKÖY / ISTNBUL,'40.95736900,'29.08065220,A+,yok,2023-09-12,A,2025-04-29 12:12:26,YAZ - KIS,90.957,63.726
434073,La Mia Luce Italian Restaurant Bar,D2-B,198,5768,434073,C125555,434073,,,1003053,389,Ulusal On-Trade Kanal MD.,Istanbul Modern OT,Istanbul Anadolu,KADIKÖY,MODERN,34288162AI,S3,D4,Presell On Ist.Mod Caddebostan Bölgesi,2815,Atakan Balcioglu ,8226,Tayfun Öncel,,D2,,,Etkinlik Yok,1.000 -1.999 TL,200-399,Orta,,,,,,ATLANTIKO TUR.GIDA SAN.TIC.LTD.STI.,LAMIA LUCE,Fine Dining (D.Mutf-Sar.Evi),ERENKÖY,1020365966.0,PLAJ YOLU B BL.N:18 GIRIS SUADIYE-KADIKÖY/ISTANBUL,'40.95705900,'29.08019800,AB,yok,2015-06-12,B,2025-04-29 12:12:38,YAZ - KIS,80.8072,77.8668
836050,Hotel Suadiye Asia,H1,195,5769,836050,346188,836050,,,1003053,389,Ulusal On-Trade Kanal MD.,Istanbul Modern OT,Istanbul Anadolu,KADIKÖY,HOTEL,34288914AI,S2,D3,Presell On Ist.Mod Caddebostan Bölgesi,2815,Atakan Balcioglu ,8226,Tayfun Öncel,,D5,,H1,,500-999 TL,,Düsük,Hayir,Evet,4,,0-10K,SUADIYE OTELCILIK TUR.INS.SAN.TIC.AS.,SUADIYE OTEL ,Business,ERENKÖY,7810285527.0,,'40.95650097,'29.08078812,AB,yok,2018-04-06,,2025-04-29 12:12:42,YAZ - KIS,,
857658,Mirror Restaurant & Bar,D2-A,190,5770,857658,C131297,857658,,,1003053,389,Ulusal On-Trade Kanal MD.,Istanbul Modern OT,Istanbul Anadolu,KADIKÖY,MODERN,34288624AI,S3,D3,Presell On Ist.Mod Caddebostan Bölgesi,2815,Atakan Balcioglu ,8226,Tayfun Öncel,,D2,,,Etkinlik Yok,1.000 -1.999 TL,100-199,Orta,,,,,,OLUSUM RESTAURANT HIZ.SAN TIC LTD STI,MIRROR,Modern Pub & Bistro,ERENKÖY,6420376777.0,PLAJ YOLU CAD NO:18/2/8 SUADIYE KADIKOY ISTANBUL,'40.95677078,'29.08036072,AB,yok,2017-04-17,A,2025-04-29 12:12:46,YAZ - KIS,92.1662,79.5816
